CustomerID,CustomerName,Region,SubscriptionType,SubscriptionStart,SubscriptionEnd,Canceled,Revenue,Subscription trend,Subscription duration
214,Zoe,South,Premium,2/28/2023,2/29/2024,FALSE,"1,019",Renewed,366
215,Paul,East,Basic,3/31/2023,3/31/2024,FALSE,"2,212",Renewed,366
216,Grace,West,Standard,4/30/2023,4/30/2024,TRUE,"2,511",Cancelled,366
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,"1,308",Cancelled,366
218,Sophia,South,Premium,6/30/2023,6/30/2024,FALSE,"1,925",Renewed,366
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,"1,047",Renewed,366
220,Nina,West,Standard,8/31/2023,8/31/2024,TRUE,"2,639",Cancelled,366
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,"1,829",Renewed,365
202,Jane,South,Premium,2/28/2022,2/28/2023,TRUE,"1,067",Cancelled,365
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,"1,125",Renewed,365
204,Maria,West,Standard,4/30/2022,4/30/2023,TRUE,"2,633",Cancelled,365
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,"2,633",Renewed,365
206,Ella,South,Premium,6/30/2022,6/30/2023,TRUE,"2,850",Cancelled,365
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,"1,845",Renewed,365
208,Sara,West,Standard,8/31/2022,8/31/2023,FALSE,"2,947",Renewed,365
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,"2,919",Cancelled,365
210,Eva,South,Premium,10/31/2022,10/31/2023,TRUE,"1,052",Cancelled,365
211,Liam,East,Basic,11/30/2022,11/30/2023,FALSE,"2,051",Renewed,365
212,Anna,West,Standard,12/31/2022,12/31/2023,FALSE,"1,800",Renewed,365
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,"2,183",Cancelled,365
214,Zoe,South,Premium,2/28/2023,2/29/2024,FALSE,"1,066",Renewed,366
215,Paul,East,Basic,3/31/2023,3/31/2024,FALSE,"2,068",Renewed,366
216,Grace,West,Standard,4/30/2023,4/30/2024,TRUE,"1,917",Cancelled,366
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,"1,222",Cancelled,366
218,Sophia,South,Premium,6/30/2023,6/30/2024,FALSE,"2,805",Renewed,366
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,"2,278",Renewed,366
220,Nina,West,Standard,8/31/2023,8/31/2024,TRUE,"1,180",Cancelled,366
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,"2,251",Renewed,365
202,Jane,South,Premium,2/28/2022,2/28/2023,TRUE,"2,147",Cancelled,365
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,"2,601",Renewed,365
204,Maria,West,Standard,4/30/2022,4/30/2023,TRUE,"2,810",Cancelled,365
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,"2,292",Renewed,365
206,Ella,South,Premium,6/30/2022,6/30/2023,TRUE,"2,537",Cancelled,365
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,"1,904",Renewed,365
208,Sara,West,Standard,8/31/2022,8/31/2023,FALSE,"1,500",Renewed,365
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,"1,518",Cancelled,365
210,Eva,South,Premium,10/31/2022,10/31/2023,TRUE,"2,980",Cancelled,365
211,Liam,East,Basic,11/30/2022,11/30/2023,FALSE,"1,602",Renewed,365
212,Anna,West,Standard,12/31/2022,12/31/2023,FALSE,"1,705",Renewed,365
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,"2,865",Cancelled,365
214,Zoe,South,Premium,2/28/2023,2/29/2024,FALSE,"1,299",Renewed,366
215,Paul,East,Basic,3/31/2023,3/31/2024,FALSE,"2,711",Renewed,366
216,Grace,West,Standard,4/30/2023,4/30/2024,TRUE,"1,994",Cancelled,366
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,"1,268",Cancelled,366
218,Sophia,South,Premium,6/30/2023,6/30/2024,FALSE,"1,118",Renewed,366
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,"2,097",Renewed,366
220,Nina,West,Standard,8/31/2023,8/31/2024,TRUE,"2,951",Cancelled,366
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,"2,318",Renewed,365
202,Jane,South,Premium,2/28/2022,2/28/2023,TRUE,"1,693",Cancelled,365
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,"1,819",Renewed,365
204,Maria,West,Standard,4/30/2022,4/30/2023,TRUE,"2,217",Cancelled,365
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,"1,545",Renewed,365
206,Ella,South,Premium,6/30/2022,6/30/2023,TRUE,"1,358",Cancelled,365
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,"1,140",Renewed,365
208,Sara,West,Standard,8/31/2022,8/31/2023,FALSE,"2,138",Renewed,365
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,"2,522",Cancelled,365
210,Eva,South,Premium,10/31/2022,10/31/2023,TRUE,"1,602",Cancelled,365
211,Liam,East,Basic,11/30/2022,11/30/2023,FALSE,"2,624",Renewed,365
212,Anna,West,Standard,12/31/2022,12/31/2023,FALSE,"1,700",Renewed,365
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,"1,933",Cancelled,365
214,Zoe,South,Premium,2/28/2023,2/29/2024,FALSE,"2,431",Renewed,366
215,Paul,East,Basic,3/31/2023,3/31/2024,FALSE,"1,167",Renewed,366
216,Grace,West,Standard,4/30/2023,4/30/2024,TRUE,"2,522",Cancelled,366
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,"1,285",Cancelled,366
218,Sophia,South,Premium,6/30/2023,6/30/2024,FALSE,"2,126",Renewed,366
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,"2,862",Renewed,366
220,Nina,West,Standard,8/31/2023,8/31/2024,TRUE,"2,879",Cancelled,366
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,"1,974",Renewed,365
202,Jane,South,Premium,2/28/2022,2/28/2023,TRUE,"1,722",Cancelled,365
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,"1,922",Renewed,365
204,Maria,West,Standard,4/30/2022,4/30/2023,TRUE,"1,592",Cancelled,365
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,"1,148",Renewed,365
206,Ella,South,Premium,6/30/2022,6/30/2023,TRUE,"2,680",Cancelled,365
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,"2,734",Renewed,365
208,Sara,West,Standard,8/31/2022,8/31/2023,FALSE,"2,914",Renewed,365
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,"1,124",Cancelled,365
210,Eva,South,Premium,10/31/2022,10/31/2023,TRUE,"2,145",Cancelled,365
211,Liam,East,Basic,11/30/2022,11/30/2023,FALSE,"1,642",Renewed,365
212,Anna,West,Standard,12/31/2022,12/31/2023,FALSE,"2,094",Renewed,365
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,"1,887",Cancelled,365
214,Zoe,South,Premium,2/28/2023,2/29/2024,FALSE,"2,602",Renewed,366
215,Paul,East,Basic,3/31/2023,3/31/2024,FALSE,"2,633",Renewed,366
216,Grace,West,Standard,4/30/2023,4/30/2024,TRUE,"2,191",Cancelled,366
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,"1,131",Cancelled,366
218,Sophia,South,Premium,6/30/2023,6/30/2024,FALSE,"2,380",Renewed,366
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,"1,283",Renewed,366
220,Nina,West,Standard,8/31/2023,8/31/2024,TRUE,"1,327",Cancelled,366
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,"2,301",Renewed,365
202,Jane,South,Premium,2/28/2022,2/28/2023,TRUE,"2,259",Cancelled,365
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,"1,976",Renewed,365
204,Maria,West,Standard,4/30/2022,4/30/2023,TRUE,"2,121",Cancelled,365
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,"1,509",Renewed,365
206,Ella,South,Premium,6/30/2022,6/30/2023,TRUE,"2,296",Cancelled,365
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,"2,798",Renewed,365
208,Sara,West,Standard,8/31/2022,8/31/2023,FALSE,"2,049",Renewed,365
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,"1,089",Cancelled,365
210,Eva,South,Premium,10/31/2022,10/31/2023,TRUE,"1,557",Cancelled,365
211,Liam,East,Basic,11/30/2022,11/30/2023,FALSE,"2,279",Renewed,365
212,Anna,West,Standard,12/31/2022,12/31/2023,FALSE,"1,028",Renewed,365
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,"1,910",Cancelled,365
214,Zoe,South,Premium,2/28/2023,2/29/2024,FALSE,"2,168",Renewed,366
215,Paul,East,Basic,3/31/2023,3/31/2024,FALSE,"1,743",Renewed,366
216,Grace,West,Standard,4/30/2023,4/30/2024,TRUE,"1,912",Cancelled,366
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,"2,508",Cancelled,366
218,Sophia,South,Premium,6/30/2023,6/30/2024,FALSE,"2,472",Renewed,366
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,"1,488",Renewed,366
220,Nina,West,Standard,8/31/2023,8/31/2024,TRUE,"2,096",Cancelled,366
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,"1,557",Renewed,365
202,Jane,South,Premium,2/28/2022,2/28/2023,TRUE,"1,923",Cancelled,365
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,"1,431",Renewed,365
204,Maria,West,Standard,4/30/2022,4/30/2023,TRUE,"1,057",Cancelled,365
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,"2,450",Renewed,365
206,Ella,South,Premium,6/30/2022,6/30/2023,TRUE,"2,362",Cancelled,365
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,"2,557",Renewed,365
208,Sara,West,Standard,8/31/2022,8/31/2023,FALSE,"2,092",Renewed,365
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,"1,884",Cancelled,365
210,Eva,South,Premium,10/31/2022,10/31/2023,TRUE,"2,829",Cancelled,365
211,Liam,East,Basic,11/30/2022,11/30/2023,FALSE,"2,428",Renewed,365
212,Anna,West,Standard,12/31/2022,12/31/2023,FALSE,"1,326",Renewed,365
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,"2,198",Cancelled,365
214,Zoe,South,Premium,2/28/2023,2/29/2024,FALSE,"2,926",Renewed,366
215,Paul,East,Basic,3/31/2023,3/31/2024,FALSE,"2,765",Renewed,366
216,Grace,West,Standard,4/30/2023,4/30/2024,TRUE,"2,606",Cancelled,366
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,"1,236",Cancelled,366
218,Sophia,South,Premium,6/30/2023,6/30/2024,FALSE,"1,959",Renewed,366
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,"1,911",Renewed,366
220,Nina,West,Standard,8/31/2023,8/31/2024,TRUE,"1,021",Cancelled,366
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,"2,732",Renewed,365
202,Jane,South,Premium,2/28/2022,2/28/2023,TRUE,"2,505",Cancelled,365
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,"1,071",Renewed,365
204,Maria,West,Standard,4/30/2022,4/30/2023,TRUE,"1,231",Cancelled,365
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,"1,808",Renewed,365
206,Ella,South,Premium,6/30/2022,6/30/2023,TRUE,"2,156",Cancelled,365
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,"2,813",Renewed,365
208,Sara,West,Standard,8/31/2022,8/31/2023,FALSE,"1,969",Renewed,365
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,"1,108",Cancelled,365
210,Eva,South,Premium,10/31/2022,10/31/2023,TRUE,"2,534",Cancelled,365
211,Liam,East,Basic,11/30/2022,11/30/2023,FALSE,"1,134",Renewed,365
212,Anna,West,Standard,12/31/2022,12/31/2023,FALSE,"2,690",Renewed,365
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,"1,098",Cancelled,365
214,Zoe,South,Premium,2/28/2023,2/29/2024,FALSE,"1,818",Renewed,366
215,Paul,East,Basic,3/31/2023,3/31/2024,FALSE,"1,913",Renewed,366
216,Grace,West,Standard,4/30/2023,4/30/2024,TRUE,"1,862",Cancelled,366
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,"2,466",Cancelled,366
218,Sophia,South,Premium,6/30/2023,6/30/2024,FALSE,"2,264",Renewed,366
220,Nina,West,Standard,8/31/2023,8/31/2024,TRUE,"2,012",Cancelled,366
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,"1,697",Renewed,365
202,Jane,South,Premium,2/28/2022,2/28/2023,TRUE,"1,316",Cancelled,365
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,"1,127",Renewed,365
204,Maria,West,Standard,4/30/2022,4/30/2023,TRUE,"1,727",Cancelled,365
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,"2,091",Renewed,365
206,Ella,South,Premium,6/30/2022,6/30/2023,TRUE,"2,691",Cancelled,365
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,"1,243",Renewed,365
208,Sara,West,Standard,8/31/2022,8/31/2023,FALSE,"1,796",Renewed,365
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,"2,008",Cancelled,365
210,Eva,South,Premium,10/31/2022,10/31/2023,TRUE,"2,781",Cancelled,365
211,Liam,East,Basic,11/30/2022,11/30/2023,FALSE,"2,850",Renewed,365
212,Anna,West,Standard,12/31/2022,12/31/2023,FALSE,"2,821",Renewed,365
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,"1,170",Cancelled,365
214,Zoe,South,Premium,2/28/2023,2/29/2024,FALSE,"2,638",Renewed,366
215,Paul,East,Basic,3/31/2023,3/31/2024,FALSE,"2,791",Renewed,366
216,Grace,West,Standard,4/30/2023,4/30/2024,TRUE,"1,884",Cancelled,366
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,"2,715",Cancelled,366
218,Sophia,South,Premium,6/30/2023,6/30/2024,FALSE,"2,579",Renewed,366
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,"1,130",Renewed,366
220,Nina,West,Standard,8/31/2023,8/31/2024,TRUE,"2,160",Cancelled,366
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,"2,722",Renewed,365
202,Jane,South,Premium,2/28/2022,2/28/2023,TRUE,"1,417",Cancelled,365
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,"1,798",Renewed,365
204,Maria,West,Standard,4/30/2022,4/30/2023,TRUE,"1,958",Cancelled,365
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,"2,875",Renewed,365
206,Ella,South,Premium,6/30/2022,6/30/2023,TRUE,"1,600",Cancelled,365
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,"1,918",Renewed,365
208,Sara,West,Standard,8/31/2022,8/31/2023,FALSE,"1,581",Renewed,365
210,Eva,South,Premium,10/31/2022,10/31/2023,TRUE,"2,762",Cancelled,365
211,Liam,East,Basic,11/30/2022,11/30/2023,FALSE,"1,575",Renewed,365
212,Anna,West,Standard,12/31/2022,12/31/2023,FALSE,"1,629",Renewed,365
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,"2,489",Cancelled,365
214,Zoe,South,Premium,2/28/2023,2/29/2024,FALSE,"1,140",Renewed,366
215,Paul,East,Basic,3/31/2023,3/31/2024,FALSE,"1,104",Renewed,366
216,Grace,West,Standard,4/30/2023,4/30/2024,TRUE,"2,044",Cancelled,366
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,"2,811",Cancelled,366
218,Sophia,South,Premium,6/30/2023,6/30/2024,FALSE,"1,097",Renewed,366
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,"1,979",Renewed,366
220,Nina,West,Standard,8/31/2023,8/31/2024,TRUE,"2,535",Cancelled,366
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,"2,244",Renewed,365
202,Jane,South,Premium,2/28/2022,2/28/2023,TRUE,"1,903",Cancelled,365
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,"2,816",Renewed,365
204,Maria,West,Standard,4/30/2022,4/30/2023,TRUE,"1,876",Cancelled,365
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,"2,724",Renewed,365
206,Ella,South,Premium,6/30/2022,6/30/2023,TRUE,"2,701",Cancelled,365
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,"2,965",Renewed,365
208,Sara,West,Standard,8/31/2022,8/31/2023,FALSE,"2,532",Renewed,365
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,"2,440",Cancelled,365
210,Eva,South,Premium,10/31/2022,10/31/2023,TRUE,"2,292",Cancelled,365
211,Liam,East,Basic,11/30/2022,11/30/2023,FALSE,"2,255",Renewed,365
212,Anna,West,Standard,12/31/2022,12/31/2023,FALSE,"1,392",Renewed,365
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,"1,078",Cancelled,365
214,Zoe,South,Premium,2/28/2023,2/29/2024,FALSE,"1,664",Renewed,366
215,Paul,East,Basic,3/31/2023,3/31/2024,FALSE,"2,874",Renewed,366
216,Grace,West,Standard,4/30/2023,4/30/2024,TRUE,"1,666",Cancelled,366
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,"1,688",Cancelled,366
218,Sophia,South,Premium,6/30/2023,6/30/2024,FALSE,"1,489",Renewed,366
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,"2,421",Renewed,366
220,Nina,West,Standard,8/31/2023,8/31/2024,TRUE,"2,565",Cancelled,366
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,"2,837",Renewed,365
202,Jane,South,Premium,2/28/2022,2/28/2023,TRUE,"1,089",Cancelled,365
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,"2,868",Renewed,365
204,Maria,West,Standard,4/30/2022,4/30/2023,TRUE,"2,674",Cancelled,365
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,"1,706",Renewed,365
206,Ella,South,Premium,6/30/2022,6/30/2023,TRUE,"2,117",Cancelled,365
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,"1,585",Renewed,365
208,Sara,West,Standard,8/31/2022,8/31/2023,FALSE,"1,697",Renewed,365
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,"1,048",Cancelled,365
210,Eva,South,Premium,10/31/2022,10/31/2023,TRUE,"1,156",Cancelled,365
211,Liam,East,Basic,11/30/2022,11/30/2023,FALSE,"1,632",Renewed,365
212,Anna,West,Standard,12/31/2022,12/31/2023,FALSE,"1,421",Renewed,365
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,"2,542",Cancelled,365
214,Zoe,South,Premium,2/28/2023,2/29/2024,FALSE,"2,958",Renewed,366
215,Paul,East,Basic,3/31/2023,3/31/2024,FALSE,"2,229",Renewed,366
216,Grace,West,Standard,4/30/2023,4/30/2024,TRUE,"1,700",Cancelled,366
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,"1,483",Cancelled,366
218,Sophia,South,Premium,6/30/2023,6/30/2024,FALSE,"1,499",Renewed,366
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,"2,284",Renewed,366
220,Nina,West,Standard,8/31/2023,8/31/2024,TRUE,"2,647",Cancelled,366
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,"1,386",Renewed,365
202,Jane,South,Premium,2/28/2022,2/28/2023,TRUE,"1,752",Cancelled,365
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,"2,654",Renewed,365
204,Maria,West,Standard,4/30/2022,4/30/2023,TRUE,"1,678",Cancelled,365
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,"1,075",Renewed,365
206,Ella,South,Premium,6/30/2022,6/30/2023,TRUE,"2,724",Cancelled,365
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,"2,129",Renewed,365
208,Sara,West,Standard,8/31/2022,8/31/2023,FALSE,"2,844",Renewed,365
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,"2,120",Cancelled,365
210,Eva,South,Premium,10/31/2022,10/31/2023,TRUE,"1,374",Cancelled,365
211,Liam,East,Basic,11/30/2022,11/30/2023,FALSE,"2,494",Renewed,365
212,Anna,West,Standard,12/31/2022,12/31/2023,FALSE,"2,247",Renewed,365
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,"1,502",Cancelled,365
214,Zoe,South,Premium,2/28/2023,2/29/2024,FALSE,"1,815",Renewed,366
215,Paul,East,Basic,3/31/2023,3/31/2024,FALSE,"2,512",Renewed,366
216,Grace,West,Standard,4/30/2023,4/30/2024,TRUE,"1,178",Cancelled,366
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,"2,451",Cancelled,366
218,Sophia,South,Premium,6/30/2023,6/30/2024,FALSE,"1,364",Renewed,366
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,"1,786",Renewed,366
220,Nina,West,Standard,8/31/2023,8/31/2024,TRUE,"2,563",Cancelled,366
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,"2,473",Renewed,365
202,Jane,South,Premium,2/28/2022,2/28/2023,TRUE,"2,455",Cancelled,365
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,"1,881",Renewed,365
204,Maria,West,Standard,4/30/2022,4/30/2023,TRUE,"1,529",Cancelled,365
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,"2,810",Renewed,365
206,Ella,South,Premium,6/30/2022,6/30/2023,TRUE,"1,997",Cancelled,365
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,"2,757",Renewed,365
208,Sara,West,Standard,8/31/2022,8/31/2023,FALSE,"1,762",Renewed,365
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,"2,693",Cancelled,365
210,Eva,South,Premium,10/31/2022,10/31/2023,TRUE,"1,773",Cancelled,365
211,Liam,East,Basic,11/30/2022,11/30/2023,FALSE,"2,052",Renewed,365
212,Anna,West,Standard,12/31/2022,12/31/2023,FALSE,"2,288",Renewed,365
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,"1,305",Cancelled,365
214,Zoe,South,Premium,2/28/2023,2/29/2024,FALSE,"2,124",Renewed,366
215,Paul,East,Basic,3/31/2023,3/31/2024,FALSE,"2,061",Renewed,366
216,Grace,West,Standard,4/30/2023,4/30/2024,TRUE,"1,226",Cancelled,366
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,"1,001",Cancelled,366
218,Sophia,South,Premium,6/30/2023,6/30/2024,FALSE,"1,282",Renewed,366
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,"2,297",Renewed,366
220,Nina,West,Standard,8/31/2023,8/31/2024,TRUE,"2,481",Cancelled,366
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,"2,754",Renewed,365
202,Jane,South,Premium,2/28/2022,2/28/2023,TRUE,"1,101",Cancelled,365
203,Alex,East,Basic,3/31/2022,3/31/2023,FALSE,"1,717",Renewed,365
204,Maria,West,Standard,4/30/2022,4/30/2023,TRUE,"1,192",Cancelled,365
205,James,North,Basic,5/31/2022,5/31/2023,FALSE,"1,138",Renewed,365
206,Ella,South,Premium,6/30/2022,6/30/2023,TRUE,"2,326",Cancelled,365
207,Mike,East,Basic,7/31/2022,7/31/2023,FALSE,"1,804",Renewed,365
208,Sara,West,Standard,8/31/2022,8/31/2023,FALSE,"1,311",Renewed,365
209,Tom,North,Basic,9/30/2022,9/30/2023,TRUE,"2,152",Cancelled,365
210,Eva,South,Premium,10/31/2022,10/31/2023,TRUE,"2,443",Cancelled,365
211,Liam,East,Basic,11/30/2022,11/30/2023,FALSE,"1,987",Renewed,365
212,Anna,West,Standard,12/31/2022,12/31/2023,FALSE,"1,993",Renewed,365
213,Chris,North,Basic,1/31/2023,1/31/2024,TRUE,"1,678",Cancelled,365
214,Zoe,South,Premium,2/28/2023,2/29/2024,FALSE,"2,045",Renewed,366
215,Paul,East,Basic,3/31/2023,3/31/2024,FALSE,"1,022",Renewed,366
216,Grace,West,Standard,4/30/2023,4/30/2024,TRUE,"2,807",Cancelled,366
217,Rob,North,Basic,5/31/2023,5/31/2024,TRUE,"1,736",Cancelled,366
218,Sophia,South,Premium,6/30/2023,6/30/2024,FALSE,"2,590",Renewed,366
219,Dan,East,Basic,7/31/2023,7/31/2024,FALSE,"2,223",Renewed,366
220,Nina,West,Standard,8/31/2023,8/31/2024,TRUE,"1,484",Cancelled,366
201,John,North,Basic,1/31/2022,1/31/2023,FALSE,"2,218",Renewed,365
